event_id,stock_code,csv_agent,csv_direct_like,parsed_disclosure_type,mismatch
配股_02012.hk_22/10/25,02012,-,True,NO_DEF,False
配股_02028.hk_29/06/26,02028,瑞城,False,AGENT_SOURCED,False
配股_02028.hk_26/05/26,02028,瑞城,False,AGENT_SOURCED,False
配股_02110.hk_15/04/26,02110,鼎石,False,AGENT_SOURCED,False
配股_02110.hk_10/10/25,02110,鼎石,False,AGENT_SOURCED,False
供股_02135.hk_26/02/24,02135,,True,UNKNOWN,False
配股_02147.hk_30/12/25,02147,中國北方,False,AGENT_SOURCED,False
供股_02147.hk_03/08/26,02147,,True,UNKNOWN,False
配股_02159.hk_30/03/26,02159,萬海,False,AGENT_SOURCED,False
配股_02160.hk_29/09/25,02160,-,True,NO_DEF,False
配股_02166.hk_22/06/26,02166,國投,False,AGENT_SOURCED,False
配股_02171.hk_15/05/26,02171,"瑞士銀行, 麥格理",False,AGENT_SOURCED,False
配股_02175.hk_06/11/25,02175,-,False,UNKNOWN,False
配股_02187.hk_26/01/26,02187,-,True,AGENT_SOURCED,True
供股_02211.hk_17/07/26,02211,,True,UNKNOWN,False
配股_02216.hk_10/10/25,02216,-,True,DIRECT_SUBSCRIPTION,False
配股_02221.hk_23/12/25,02221,-,True,AGENT_SOURCED,True
