event_id,stock_code,csv_agent,csv_direct_like,parsed_disclosure_type,mismatch
供股_00205.hk_07/05/25,00205,,True,UNKNOWN,False
供股_00209.hk_15/10/25,00209,,True,UNKNOWN,False
配股_00223.hk_12/01/26,00223,德林,False,NO_DEF,False
供股_00223.hk_21/11/24,00223,,True,UNKNOWN,False
供股_00228.hk_14/08/25,00228,,True,UNKNOWN,False
供股_00248.hk_02/01/26,00248,,True,UNKNOWN,False
供股_00256.hk_05/05/26,00256,,True,UNKNOWN,False
配股_00261.hk_03/08/26,00261,高裕,False,AGENT_SOURCED,False
配股_00264.hk_17/03/26,00264,-,True,AGENT_SOURCED,True
配股_00264.hk_06/01/26,00264,-,True,AGENT_SOURCED,True
配股_00264.hk_30/09/25,00264,-,True,AGENT_SOURCED,True
配股_00279.hk_20/04/26,00279,凱基,False,AGENT_SOURCED,False
供股_00286.hk_20/03/24,00286,,True,UNKNOWN,False
配股_00290.hk_03/08/26,00290,"浙商國際, 富強",False,NO_DEF,False
配股_00302.hk_21/04/26,00302,-,True,DIRECT_SUBSCRIPTION,False
配股_00309.hk_07/05/26,00309,-,True,AGENT_SOURCED,True
配股_00310.hk_10/02/26,00310,-,True,AGENT_SOURCED,True
配股_00318.hk_03/12/25,00318,-,False,NO_DEF,False
供股_00328.hk_25/03/26,00328,,True,UNKNOWN,False
供股_00328.hk_08/07/25,00328,,True,UNKNOWN,False
供股_00339.hk_09/05/25,00339,,True,UNKNOWN,False
配股_00340.hk_19/12/25,00340,-,False,NO_DEF,False
配股_00343.hk_29/04/26,00343,-,True,DIRECT_SUBSCRIPTION,False
配股_00348.hk_05/08/26,00348,-,True,DIRECT_SUBSCRIPTION,False
配股_00353.hk_24/12/25,00353,-,True,DIRECT_SUBSCRIPTION,False
配股_00356.hk_22/05/26,00356,-,True,DIRECT_SUBSCRIPTION,False
供股_00362.hk_03/03/25,00362,,True,NO_DEF,False
供股_00370.hk_27/08/26,00370,,True,UNKNOWN,False
配股_00377.hk_02/07/26,00377,-,True,AGENT_SOURCED,True
配股_00377.hk_30/06/26,00377,-,True,AGENT_SOURCED,True
配股_00377.hk_26/06/26,00377,-,True,NO_DEF,False
配股_00381.hk_17/06/26,00381,-,True,NO_DEF,False
配股_00389.hk_26/07/26,00389,嬴控金融,False,AGENT_SOURCED,False
供股_00397.hk_29/04/26,00397,,True,UNKNOWN,False
供股_00401.hk_30/12/25,00401,,True,UNKNOWN,False
配股_00419.hk_06/07/26,00419,-,True,NO_DEF,False
配股_00419.hk_26/05/26,00419,-,True,NO_DEF,False
配股_00419.hk_06/11/25,00419,-,True,NO_DEF,False
配股_00428.hk_28/05/26,00428,SFGHK,False,AGENT_SOURCED,False
供股_00442.hk_12/11/25,00442,,True,NO_DEF,False
配股_00451.hk_08/01/26,00451,-,True,NO_DEF,False
配股_00451.hk_20/04/26,00451,海通國際,False,DIRECT_SUBSCRIPTION,False
配股_00456.hk_04/05/26,00456,-,True,AGENT_SOURCED,True
配股_00464.hk_06/11/25,00464,-,True,AGENT_SOURCED,True
供股_00471.hk_19/11/25,00471,,True,UNKNOWN,False
配股_00472.hk_28/04/26,00472,-,True,AGENT_SOURCED,True
配股_00474.hk_04/05/26,00474,-,False,NO_DEF,False
配股_00474.hk_30/01/26,00474,-,False,NO_DEF,False
配股_00475.hk_28/11/25,00475,-,True,NO_DEF,False
配股_00476.hk_10/11/25,00476,-,True,NO_DEF,False
供股_00476.hk_26/06/24,00476,,True,UNKNOWN,False
配股_00476.hk_04/05/26,00476,-,True,DIRECT_SUBSCRIPTION,False
配股_00476.hk_16/04/26,00476,-,True,DIRECT_SUBSCRIPTION,False
配股_00476.hk_24/07/26,00476,-,True,DIRECT_SUBSCRIPTION,False
配股_00476.hk_28/08/26,00476,-,True,DIRECT_SUBSCRIPTION,False
供股_00482.hk_24/10/25,00482,,True,UNKNOWN,False
配股_00485.hk_05/12/25,00485,-,True,DIRECT_SUBSCRIPTION,False
配股_00493.hk_05/06/26,00493,-,False,NO_DEF,False
配股_00493.hk_16/01/26,00493,-,True,DIRECT_SUBSCRIPTION,False
配股_00524.hk_24/04/26,00524,一盈,False,AGENT_SOURCED,False
配股_00527.hk_23/06/26,00527,華富建業,False,AGENT_SOURCED,False
配股_00544.hk_27/04/26,00544,-,True,DIRECT_SUBSCRIPTION,False
配股_00544.hk_30/07/26,00544,-,True,DIRECT_SUBSCRIPTION,False
配股_00544.hk_31/10/25,00544,-,True,DIRECT_SUBSCRIPTION,False
配股_00568.hk_22/07/26,00568,招商,False,NO_DEF,False
供股_00574.hk_16/04/26,00574,,True,UNKNOWN,False
供股_00582.hk_25/07/25,00582,,True,UNKNOWN,False
供股_00582.hk_18/04/24,00582,,True,UNKNOWN,False
配股_00596.hk_16/11/25,00596,興證國際,False,AGENT_SOURCED,False
配股_00601.hk_21/08/26,00601,駿達,False,AGENT_SOURCED,False
供股_00601.hk_19/11/24,00601,,True,UNKNOWN,False
配股_00607.hk_26/01/26,00607,-,True,AGENT_SOURCED,True
配股_00616.hk_16/01/26,00616,弘雅資本,False,AGENT_SOURCED,False
配股_00616.hk_16/12/25,00616,弘雅資本,False,NO_DEF,False
配股_00616.hk_09/12/25,00616,弘雅資本,False,AGENT_SOURCED,False
供股_00616.hk_15/10/24,00616,,True,UNKNOWN,False
配股_00632.hk_23/06/26,00632,"百惠, 軟庫中華",False,AGENT_SOURCED,False
配股_00632.hk_05/06/26,00632,百惠,False,AGENT_SOURCED,False
供股_00639.hk_23/09/24,00639,,True,UNKNOWN,False
配股_00640.hk_17/11/25,00640,-,True,AGENT_SOURCED,True
配股_00643.hk_14/07/26,00643,華富建業,False,AGENT_SOURCED,False
配股_00648.hk_10/03/26,00648,-,True,NO_DEF,False
供股_00653.hk_17/04/25,00653,,True,NO_DEF,False
配股_00653.hk_06/02/26,00653,-,True,DIRECT_SUBSCRIPTION,False
配股_00653.hk_17/03/26,00653,-,True,DIRECT_SUBSCRIPTION,False
配股_00666.hk_31/10/25,00666,"中國銀河, 華泰金融, 德意志, 麥格理資本",False,AGENT_SOURCED,False
供股_00673.hk_23/05/25,00673,,True,DIRECT_SUBSCRIPTION,False
配股_00673.hk_02/02/26,00673,-,True,DIRECT_SUBSCRIPTION,False
配股_00682.hk_01/12/25,00682,宏智,False,NO_DEF,False
供股_00689.hk_13/01/26,00689,,True,UNKNOWN,False
供股_00707.hk_02/08/24,00707,,True,NO_DEF,False
配股_00720.hk_13/02/26,00720,國泰君安,False,DIRECT_SUBSCRIPTION,False
配股_00721.hk_11/03/26,00721,-,True,NO_DEF,False
配股_00724.hk_11/03/26,00724,-,True,UNKNOWN,False
供股_00727.hk_21/11/25,00727,,True,UNKNOWN,False
供股_00727.hk_09/09/24,00727,,True,UNKNOWN,False
供股_00730.hk_14/07/26,00730,,True,UNKNOWN,False
配股_00737.hk_12/06/26,00737,-,True,DIRECT_SUBSCRIPTION,False
供股_00745.hk_02/10/24,00745,,True,UNKNOWN,False
配股_00764.hk_17/12/25,00764,大灣區深港,False,AGENT_SOURCED,False
供股_00765.hk_26/09/25,00765,,True,NO_DEF,False
供股_00770.hk_15/01/26,00770,,True,UNKNOWN,False
配股_00776.hk_02/10/25,00776,富強,False,AGENT_SOURCED,False
供股_00776.hk_23/06/26,00776,,True,NO_DEF,False
配股_00804.hk_29/07/26,00804,鼎石,False,AGENT_SOURCED,False
配股_00804.hk_01/10/25,00804,-,False,NO_DEF,False
供股_00804.hk_10/06/25,00804,,True,UNKNOWN,False
配股_00810.hk_03/10/25,00810,金利豐,False,AGENT_SOURCED,False
供股_00810.hk_19/12/25,00810,,True,UNKNOWN,False
配股_00813.hk_15/05/26,00813,-,True,NO_DEF,False
配股_00815.hk_16/02/26,00815,-,True,DIRECT_SUBSCRIPTION,False
配股_00821.hk_12/06/26,00821,滙盈,False,NO_DEF,False
供股_00821.hk_06/08/25,00821,,True,AGENT_SOURCED,True
配股_00863.hk_29/01/26,00863,摩根士丹利,False,AGENT_SOURCED,False
